Name,Core Contributor,Expertise,Available For,Discord,Github
Casey Arrington,Yes,Blockchain Strategy;Product Management,General Questions,arring16#6157,caseyturnerarrington
Layne Lafrance,Yes,Blockchain Strategy;Product Management,General Questions,layne#6986,laynelafrance
Srinjoy Chakraborty,Yes,Cadence Txs & Scripts;Product Management,General Questions,x,x
Peter Siemens,Yes,Blockchain Strategy;Go SDK;Product Management,General Questions,x,x
Kan Zhang,Yes,Blockchain Strategy;Go SDK;Product Management,General Questions,x,x
Jeff Doyle,Yes,Cadence Txs & Scripts;Decentralized App Architecture;JS SDK;Smart Contract Design,General Questions,JeffD#6865,JeffreyDoyle
Josh Hannan,Yes,Cadence Txs & Scripts;Decentralized App Architecture;Go SDK;NFT Marketplace Design;Smart Contract Design,General Questions,joshua#1220,joshuahannan
Bastian MÃ¼ller,Yes,Cadence Txs & Scripts;Development Tools;Smart Contract Design,General Questions,turbolent#3358,turbolent
Benjamin Ebner,Yes,CryptoDappy,General Questions,bebner#2025,bebner
Navid TehraniFar,Yes,Access API;Blockchain Strategy;Go SDK,General Questions,navid#3642,tehranifar
Albert Khasky,Yes,Blockchain Strategy,General Questions,albert_k#0681,albeethekid
Max Daunarovich,Yes,Cadence Testing;Development Tools;JS SDK,General Questions,MaxStarka#5714,maxstalker
Matt Jobbe Duval,Yes,Blockchain Strategy;Product Management,General Questions,MJD#4454,mattjduv
